,Sight,Latitude,Longitude
0,Γενικό Νοσοκομείο Θεσσαλονίκης «Γ. Γεννηματάς»,40.6340603,22.95544090597782
1,Λιμάνι,40.6329523,22.935580856860312
2,Δημαρχείο Θεσσαλονίκης,40.62349035,22.953888464445726
3,Λευκός Πύργος,40.62642685,22.94838799454023
4,Αγορά Καπάνι,40.6359733,22.9426557
5,Λαδάδικα,40.6354703,22.9360507
6,Πλατεία Άθωνος,40.6349061,22.944225896187753
7,Πλατεία Αριστοτέλους,40.63231705,22.940844254956303
8,Ροτόντα,40.6333112,22.952867792448046
9,Πλατεία Αγίας Σοφίας,40.633686,22.9456999
10,Πλατεία Αντιγονιδών,40.6404351,22.940401451517523
11,Μουσείο Μακεδονικού Αγώνα,40.630829,22.9435835
12,Πλατεία Ναυαρίνου,40.630707799999996,22.948782985804673
13,Πάρκο ΧΑΝΘ,40.6250112,22.951813299717784
14,Ιερός Ναός Αγίου Δημητρίου,40.639213,22.9461529
15,ΔΕΘ,40.62772675,22.95568771459698
16,ΑΠΘ,40.631574549999996,22.95545207758422
17,Άγαλμα Ελευθερίου Βενιζέλου,40.6361543,22.9427118
18,Ρωμαϊκή Αγορά Θεσσαλονίκης,40.6384969,22.9460472
